Gender,Education Level,Loan Purpose,Employment Status,Payment History,Country,Risk Rating,Age,Income,Credit Score,Loan Amount,Debt-to-Income Ratio,Assets Value
Non-binary,Bachelor's,Personal,Unemployed,Fair,Namibia,Low,25,49427,766,36528,0.143242424,287140
Non-binary,Master's,Personal,Self-employed,Good,Bouvet Island (Bouvetoya),Low,31,45280,672,6553,0.378889937,136276.8
Non-binary,Bachelor's,Auto,Unemployed,Fair,Pitcairn Islands,Low,32,20205,710,22932,0.335964978,227599
Male,Bachelor's,Personal,Self-employed,Excellent,Thailand,Low,55,32190,600,29918,0.484333305,130507
Non-binary,Master's,Home,Employed,Excellent,French Guiana,Medium,42,116212,707,24771,0.114133748,212198
Male,High School,Personal,Self-employed,Good,Grenada,Medium,68,79454,688,43365,0.329281544,61967
Male,High School,Auto,Employed,Poor,Solomon Islands,Medium,29,119510,664.2,5013,0.499721861,50568
Male,High School,Personal,Unemployed,Excellent,Tonga,Medium,55,70978,706,36970,0.266940909,54041
Non-binary,Bachelor's,Business,Employed,Fair,Malawi,Low,60,91121,738,37001,0.338970973,53055
Female,PhD,Business,Unemployed,Excellent,Tonga,Medium,26,51460,652.2,29970,0.430232588,252797
Non-binary,Bachelor's,Business,Unemployed,Poor,Oman,Low,64,118318,702,41029,0.228351473,122848.8
Male,PhD,Business,Unemployed,Good,Gambia,Low,41,94796,742,37088.2,0.355808376,129119
Male,PhD,Business,Employed,Poor,South Georgia and the South Sandwich Islands,Low,41,93133,791,14052,0.282850057,82774
Female,PhD,Personal,Self-employed,Fair,Palau,Low,64,76406.8,749,38635,0.320230266,161329.2
Male,PhD,Personal,Unemployed,Poor,Saint Pierre and Miquelon,Medium,34,115201,696.4,21315,0.243942664,81794
Non-binary,PhD,Business,Self-employed,Poor,Cote d'Ivoire,Low,69,38065,679.6,15818,0.391979313,107451
Female,High School,Auto,Self-employed,Fair,Seychelles,Low,47,33065,783,6895,0.116680916,158428
